379,51:28.927N,001:33.385W,0F,T,MEM,Membury*Z50
380,52:14.071N,001:06.457E,0F,T,MEN,Mendlesham*Z50
381,51:05.360N,002:16.249W,0F,T,MER,Mere*Z50
382,51:01.028N,000:42.021W,0F,T,MIM,Midhurst Mast*Z50
383,55:35.335N,002:05.377W,0F,AT,MIL,Milfield*Z100
384,54:14.181N,002:43.070W,0F,T,MIT,Milnthorpe*Z50
385,51:01.675N,003:49.480W,0F,T,MLN,Molton*Z50
386,51:20.054N,001:15.677E,0F,AT,MOK,Monkton*Z100
387,51:48.680N,002:42.556W,0F,T,MOM,Monmouth*Z50
388,52:33.765N,003:08.878W,0F,T,MON,Montgomery*Z50
389,51:59.413N,001:41.954W,0F,T,MOR,Moreton-In-Marsh*Z50
390,55:11.449N,001:42.922W,0F,T,MOP,Morpeth*Z50
391,52:30.548N,000:39.364E,0F,AT,MUN,Mundford*Z100
392,51:57.346N,000:48.785W,0F,T,MUR,Mursley*Z50
